label,type,gender
bird,animal,
bull,animal,
cuttle-fish,animal,
deer,animal,
dog,animal,
duck,animal,
fawn,animal,
goat,animal,
goose,animal,
hare,animal,
horse,animal,
jackdaw,animal,
lobster,animal,
mule,animal,
serpent,animal,
snake,animal,
swan,animal,
altar,architecture_furniture,
bema,architecture_furniture,
chair,architecture_furniture,
column,architecture_furniture,
cottabos-stand,architecture_furniture,
couch,architecture_furniture,
diphros,architecture_furniture,
folding-stool,architecture_furniture,
stele,architecture_furniture,
stool,architecture_furniture,
table,architecture_furniture,
window,architecture_furniture,
apoptygma,attribute_clothing,
band,attribute_clothing,
bracelet,attribute_clothing,
chiton,attribute_clothing,
chlamys,attribute_clothing,
cloak,attribute_clothing,
cuirass,attribute_clothing,
earrings,attribute_clothing,
embroidered taenia,attribute_clothing,
endromides,attribute_clothing,
fillet,attribute_clothing,
himation,attribute_clothing,
lion's skin,attribute_clothing,
mantle,attribute_clothing,
myrtle wreath with berries,attribute_clothing,
necklace,attribute_clothing,
sandals,attribute_clothing,
stemmata,attribute_clothing,
string of pendant beads,attribute_clothing,
tiara,attribute_clothing,
under-garment,attribute_clothing,
alabastron,attribute_household,
aryballos,attribute_household,
askos,attribute_household,
basket,attribute_household,
box,attribute_household,
cantharos,attribute_household,
cista,attribute_household,
crater,attribute_household,
cup,attribute_household,
diota,attribute_household,
dish,attribute_household,
hydria,attribute_household,
incense-burner,attribute_household,
kylix,attribute_household,
lantern,attribute_household,
lekythos,attribute_household,
mirror,attribute_household,
oinochoe,attribute_household,
phiale,attribute_household,
prochoos,attribute_household,
pyxis,attribute_household,
rhyton,attribute_household,
situla,attribute_household,
skyphos,attribute_household,
tripod,attribute_household,
chelys,attribute_instrument,
crotala,attribute_instrument,
flute,attribute_instrument,
harp,attribute_instrument,
kithara,attribute_instrument,
lyre,attribute_instrument,
magadis,attribute_instrument,
tympanon,attribute_instrument,
Phrygian cap with lappets,attribute_occluding_hair,
ampyx,attribute_occluding_hair,
cap,attribute_occluding_hair,
opisthosphendone,attribute_occluding_hair,
petasos,attribute_occluding_hair,
pilos,attribute_occluding_hair,
saccos,attribute_occluding_hair,
axe,attribute_weapon,
bow,attribute_weapon,
club,attribute_weapon,
diskos,attribute_weapon,
helmet,attribute_weapon,
quiver,attribute_weapon,
scepter,attribute_weapon,
sceptre,attribute_weapon,
shield,attribute_weapon,
spear,attribute_weapon,
staff,attribute_weapon,
stick,attribute_weapon,
sword,attribute_weapon,
thyrsos,attribute_weapon,
torch,attribute_weapon,
trident,attribute_weapon,
wand,attribute_weapon,
winged thunderbolt,attribute_weapon,
Centaur,mythical_type,
Cyclops,mythical_type,
Fury,mythical_type,
Nymph,mythical_type,
Sphinx,mythical_type,
muse,mythical_type,
Boeotian shield,other,
Gorgoneion,other,
Lydian tiara,other,
anthemion,other,
ball,other,
bucrania,other,
bunch of grapes,other,
caduceus,other,
fan,other,
flowers,other,
flute player,other,
honeysuckle,other,
ivy,other,
iynx,other,
key,other,
laurel,other,
lotus,other,
maenad,other,
magic wheel,other,
myrtle,other,
net,other,
omphalos,other,
parasol,other,
string,other,
vine,other,
wreath,other,
cross square,pattern,
dots,pattern,
egg-moulding,pattern,
maeander,pattern,
palmette,pattern,
rosette,pattern,
rosettes,pattern,
tongue,pattern,
wave,pattern,
man,person_gender,male
woman,person_gender,female
Acamas,person_name,male
Achilles,person_name,male
Aegeus,person_name,male
Aeneas,person_name,male
Aethra,person_name,female
Agamemnon,person_name,male
Agenor,person_name,male
Aithra,person_name,female
Ajax,person_name,male
Alcmene,person_name,female
Amphitryon,person_name,male
Anchises,person_name,male
Antenor,person_name,male
Antilochos,person_name,male
Aphrodite,person_name,female
Apollo,person_name,male
Ares,person_name,male
Artemis,person_name,female
Athena,person_name,female
Briseis,person_name,female
Callisto,person_name,female
Castor,person_name,male
Cheiron,person_name,male
Creusa,person_name,female
Demeter,person_name,female
Demophon,person_name,male
Diomedes,person_name,male
Dionysus,person_name,male
Dioscuri,person_name,male
Dolon,person_name,male
Eos,person_name,female
Eros,person_name,male
Eumolpos,person_name,male
Europa,person_name,female
Gaia,person_name,female
Ganymedes,person_name,male
Hebe,person_name,female
Hecate,person_name,female
Helen,person_name,female
Hephaestos,person_name,male
Hera,person_name,female
Heracles,person_name,male
Hermes,person_name,male
Hippodameia,person_name,female
Hyades,person_name,female
Hyakinthos,person_name,male
Iachos,person_name,male
Iris,person_name,female
Kephalos,person_name,male
Kerberos,person_name,male
Laodameia,person_name,female
Leto,person_name,female
Maia,person_name,female
Medusa,person_name,female
Melousa,person_name,female
Memnon,person_name,male
Menelaos,person_name,male
Mousaios,person_name,male
Myrtilos,person_name,male
Nike,person_name,female
Odysseus,person_name,male
Oedipus,person_name,male
Oinanthè,person_name,female
Oinomaos,person_name,male
Orestes,person_name,male
Pan,person_name,male
Pandora,person_name,female
Peirithoos,person_name,male
Pelops,person_name,male
Persephone,person_name,female
Perseus,person_name,male
Phaedra,person_name,female
Philippos,person_name,male
Phoenix,person_name,male
Pittheus,person_name,male
Pluto,person_name,male
Polydeukes,person_name,male
Poseidon,person_name,male
Scylla,person_name,female
Sterope,person_name,female
Terpsichore,person_name,female
Tethys,person_name,female
Theseus,person_name,male
Triptolemos,person_name,male
Troilos,person_name,male
Xanthias,person_name,male
Zephyros,person_name,male
Zeus,person_name,male
actor,person_role,
archer,person_role,
athlete,person_role,
attendant,person_role,
aulete,person_role,
ephebos,person_role,
hetaera,person_role,
hetaira,person_role,
komast,person_role,
nurse,person_role,
paidotribes,person_role,
satyr,person_role,male
slave,person_role,
squire,person_role,
warrior,person_role,
youth,person_role,male
